gkz,bezirkname,alle Krebsarten:diff_rate,alle Krebsarten:rate,alle Krebsarten:rate_at,Bauchspeicheldrüsenkrebs:diff_rate,Bauchspeicheldrüsenkrebs:rate,Bauchspeicheldrüsenkrebs:rate_at,Brustkrebs:diff_rate,Brustkrebs:rate,Brustkrebs:rate_at,Darmkrebs:diff_rate,Darmkrebs:rate,Darmkrebs:rate_at,Eierstockkrebs:diff_rate,Eierstockkrebs:rate,Eierstockkrebs:rate_at,Leukämie:diff_rate,Leukämie:rate,Leukämie:rate_at,Lungenkrebs:diff_rate,Lungenkrebs:rate,Lungenkrebs:rate_at,Magenkrebs:diff_rate,Magenkrebs:rate,Magenkrebs:rate_at,Prostatakrebs:diff_rate,Prostatakrebs:rate,Prostatakrebs:rate_at
0,Österreich,0,250.24,250.24,0,18.96,18.96,0,19.42,19.42,0,27.33,27.33,0,6.05,6.05,0,9.22,9.22,0,45.9,45.9,0,11.2,11.2,0,14.36,14.36
101,Eisenstadt(Stadt) /Eisenstadt Umgebung /Rust,8.870000000000005,259.11,250.24,-1.7200000000000024,17.24,18.96,-1.6800000000000033,17.74,19.42,7.32,34.65,27.33,0.33000000000000007,6.38,6.05,1,10.22,9.22,-3.9200000000000017,41.98,45.9,-1.4299999999999997,9.77,11.2,4.719999999999999,19.08,14.36
104,Güssing,9.089999999999975,259.33,250.24,6.099999999999998,25.06,18.96,-1.110000000000003,18.31,19.42,-2.1099999999999994,25.22,27.33,0.20000000000000018,6.25,6.05,1.4499999999999993,10.67,9.22,2.469999999999999,48.37,45.9,4.790000000000001,15.99,11.2,1.540000000000001,15.9,14.36
105,Jennersdorf,2.509999999999991,252.75,250.24,4.050000000000001,23.01,18.96,7.43,26.85,19.42,-2.8999999999999986,24.43,27.33,-2.4099999999999997,3.64,6.05,-0.7100000000000009,8.51,9.22,-3.6299999999999955,42.27,45.9,4.470000000000001,15.67,11.2,-0.6499999999999986,13.71,14.36
106,Mattersburg,2.579999999999984,252.82,250.24,-1.3500000000000014,17.61,18.96,0.6199999999999974,20.04,19.42,2.710000000000001,30.04,27.33,-1.7199999999999998,4.33,6.05,2.3499999999999996,11.57,9.22,-9.339999999999996,36.56,45.9,0.08999999999999986,11.29,11.2,0.9700000000000006,15.33,14.36
107,Neusiedl am See,-0.030000000000001137,250.21,250.24,0.6099999999999994,19.57,18.96,-1.0800000000000018,18.34,19.42,-1.0399999999999991,26.29,27.33,-1.0499999999999998,5,6.05,-0.9900000000000002,8.23,9.22,2.3900000000000006,48.29,45.9,2.1000000000000014,13.3,11.2,-0.9299999999999997,13.43,14.36
108,Oberpullendorf,-7.1299999999999955,243.11,250.24,1.4199999999999982,20.38,18.96,-3.360000000000003,16.06,19.42,-4.189999999999998,23.14,27.33,0.8600000000000003,6.91,6.05,0.6899999999999995,9.91,9.22,-6.960000000000001,38.94,45.9,-1.4299999999999997,9.77,11.2,0.27000000000000135,14.63,14.36
109,Oberwart,3.780000000000001,254.02,250.24,5.41,24.37,18.96,1.0799999999999983,20.5,19.42,-4.039999999999999,23.29,27.33,0.6900000000000004,6.74,6.05,1.2599999999999998,10.48,9.22,-7.240000000000002,38.66,45.9,-0.7799999999999994,10.42,11.2,2.3000000000000007,16.66,14.36
201,Klagenfurt (Stadt),7.5,257.74,250.24,-0.6400000000000006,18.32,18.96,-1.3800000000000026,18.04,19.42,-5.659999999999997,21.67,27.33,-0.33000000000000007,5.72,6.05,-1.4000000000000004,7.82,9.22,14.980000000000004,60.88,45.9,0.10000000000000142,11.3,11.2,1.0200000000000014,15.38,14.36
202,Villach(Stadt),0.29999999999998295,250.54,250.24,0.33999999999999986,19.3,18.96,0.31999999999999673,19.74,19.42,-4.1199999999999974,23.21,27.33,-0.5599999999999996,5.49,6.05,0.5099999999999998,9.73,9.22,2.25,48.15,45.9,1.540000000000001,12.74,11.2,1.120000000000001,15.48,14.36
